created_date,count
19/05/2024,1168
20/05/2024,3214
21/05/2024,2579
22/05/2024,2609
23/05/2024,2424
24/05/2024,2390
25/05/2024,1299
26/05/2024,1095
27/05/2024,1548
28/05/2024,3278
29/05/2024,2697
30/05/2024,2592
31/05/2024,2368
01/06/2024,1299
02/06/2024,1273
03/06/2024,3039
04/06/2024,2574
05/06/2024,2491
06/06/2024,2377
07/06/2024,2185
08/06/2024,1359
09/06/2024,1104
10/06/2024,3058
11/06/2024,2499
12/06/2024,2490
13/06/2024,2249
14/06/2024,2285
15/06/2024,1259
16/06/2024,1146
17/06/2024,3069
18/06/2024,2516
19/06/2024,2393
20/06/2024,2367
21/06/2024,2335
22/06/2024,1361
23/06/2024,1205
24/06/2024,3051
25/06/2024,2658
26/06/2024,2445
27/06/2024,2417
28/06/2024,2234
29/06/2024,1350
30/06/2024,1144
01/07/2024,3154
02/07/2024,2574
03/07/2024,2358
04/07/2024,2230
05/07/2024,2081
06/07/2024,1267
07/07/2024,1225
08/07/2024,3013
09/07/2024,2566
10/07/2024,2345
11/07/2024,2338
12/07/2024,2240
13/07/2024,1301
14/07/2024,1055
15/07/2024,2961
16/07/2024,2600
17/07/2024,2402
18/07/2024,2298
19/07/2024,2017
20/07/2024,1332
21/07/2024,1257
22/07/2024,3229
23/07/2024,2413
24/07/2024,2452
25/07/2024,2416
26/07/2024,2283
27/07/2024,1313
28/07/2024,1189
29/07/2024,2987
30/07/2024,2380
31/07/2024,2453
01/08/2024,2357
02/08/2024,2237
03/08/2024,1331
04/08/2024,1177
05/08/2024,3099
06/08/2024,2493
07/08/2024,2453
08/08/2024,2394
09/08/2024,2091
10/08/2024,1308
11/08/2024,1127
12/08/2024,3063
13/08/2024,2566
14/08/2024,2477
15/08/2024,2370
16/08/2024,2290
17/08/2024,1352
18/08/2024,1167
19/08/2024,3094
20/08/2024,2601
21/08/2024,2511
22/08/2024,2432
23/08/2024,2355
24/08/2024,1332
25/08/2024,1121
26/08/2024,1668
27/08/2024,3135
28/08/2024,2657
29/08/2024,2624
30/08/2024,2233
31/08/2024,1373
01/09/2024,1214
02/09/2024,3152
03/09/2024,2722
04/09/2024,2645
05/09/2024,2484
06/09/2024,2502
07/09/2024,1458
08/09/2024,1465
09/09/2024,3228
10/09/2024,2619
11/09/2024,2628
12/09/2024,2499
13/09/2024,2437
14/09/2024,1419
15/09/2024,1321
16/09/2024,3174
17/09/2024,2705
18/09/2024,2567
19/09/2024,2579
20/09/2024,2416
21/09/2024,1385
22/09/2024,1441
23/09/2024,3477
24/09/2024,2821
25/09/2024,2722
26/09/2024,2720
27/09/2024,2542
28/09/2024,1593
29/09/2024,1456
30/09/2024,3603
01/10/2024,3043
02/10/2024,2836
03/10/2024,2670
04/10/2024,2747
05/10/2024,1497
06/10/2024,1423
07/10/2024,3547
08/10/2024,3016
09/10/2024,2767
10/10/2024,2620
11/10/2024,2549
12/10/2024,1551
13/10/2024,1462
14/10/2024,3522
15/10/2024,2868
